Gene,Pfam,MSA
GA4805AA_03570,PF07690,Inter-strain
GA4805AA_00369,PF00756,Inter-strain
GA4805AA_00419,PF02769,Inter-strain
GA4805AA_03079,PF13604,Inter-strain
GA4805AA_02930,PF01380,Inter-strain
GA4805AA_04073,PF00126,Inter-strain
GA4805AA_03437,PF04074,Inter-strain
GA4805AA_02470,PF02867,Inter-strain
GA4805AA_00867,PF00005,Inter-strain
GA4805AA_03192,PF02951,Inter-strain
GA4805AA_02501,PF16582,Inter-strain
GA4805AA_01942,PF01297,Inter-strain
GA4805AA_02893,PF00462,Inter-strain
GA4805AA_01289,PF01168,Inter-strain
GA4805AA_01472,PF00697,Inter-strain
GA4805AA_03090,PF00293,Inter-strain
GA4805AA_04146,PF01943,Inter-strain
GA4805AA_02775,PF00679,Inter-strain
GA4805AA_03816,PF01594,Inter-strain
GA4805AA_02641,PF03120,Inter-strain
GA4805AA_03990,PF06831,Inter-strain
GA4805AA_02727,PF04551,Inter-strain
GA4805AA_03147,PF08669,Inter-strain
GA4805AA_03426,PF08275,Inter-strain
GA4805AA_01702,PF10415,Inter-strain
GA4805AA_02366,PF00005,Inter-strain
GA4805AA_03952,PF02302,Inter-strain
GA4805AA_04868,PF02492,Inter-strain
GA4805AA_00527,PF12850,Inter-strain
GA4805AA_00042,PF00766,Inter-strain
GA4805AA_03992,PF00830,Inter-strain
GA4805AA_00743,PF00126,Inter-strain
GA4805AA_04340,PF00440,Inter-strain
GA4805AA_00440,PF10431,Inter-strain
GA4805AA_04549,PF03605,Inter-strain
GA4805AA_01348,PF04247,Inter-strain
GA4805AA_02516,PF04879,Inter-strain
GA4805AA_01844,PF02627,Inter-strain
GA4805AA_04902,PF01048,Inter-strain
GA4805AA_03028,PF08220,Inter-strain
GA4805AA_00140,PF02569,Inter-strain
GA4805AA_01893,PF13307,Inter-strain
GA4805AA_00052,PF04379,Inter-strain
GA4805AA_03783,PF00532,Inter-strain
GA4805AA_04592,PF08032,Inter-strain
GA4805AA_04334,PF00696,Inter-strain
GA4805AA_02929,PF00455,Inter-strain
GA4805AA_03554,PF00005,Inter-strain
GA4805AA_03089,PF00391,Inter-strain
GA4805AA_03133,PF01336,Inter-strain
GA4805AA_01002,PF00664,Inter-strain
GA4805AA_00755,PF01161,Inter-strain
GA4805AA_01090,PF13473,Inter-strain
GA4805AA_00771,PF13091,Inter-strain
GA4805AA_04039,PF02776,Inter-strain
GA4805AA_00186,PF02163,Inter-strain
GA4805AA_00541,PF00486,Inter-strain
GA4805AA_02899,PF04069,Inter-strain
GA4805AA_03476,PF03222,Inter-strain
GA4805AA_00422,PF02780,Inter-strain
GA4805AA_01142,PF00460,Inter-strain
GA4805AA_00001,PF01842,Inter-strain
GA4805AA_00821,PF00455,Inter-strain
GA4805AA_01690,PF00893,Inter-strain
GA4805AA_02944,PF00146,Inter-strain
GA4805AA_01618,PF00384,Inter-strain
GA4805AA_04177,PF03061,Inter-strain
GA4805AA_02773,PF14622,Inter-strain
GA4805AA_03556,PF02482,Inter-strain
GA4805AA_02775,PF00009,Inter-strain
GA4805AA_00847,PF01906,Inter-strain
GA4805AA_02654,PF13531,Inter-strain
GA4805AA_01947,PF05496,Inter-strain
GA4805AA_01198,PF03054,Inter-strain
GA4805AA_02404,PF00381,Inter-strain
GA4805AA_01546,PF01035,Inter-strain
GA4805AA_02652,PF00528,Inter-strain
GA4805AA_00707,PF00364,Inter-strain
GA4805AA_02904,PF16576,Inter-strain
GA4805AA_03518,PF00312,Inter-strain
GA4805AA_00704,PF02910,Inter-strain
GA4805AA_04091,PF13522,Inter-strain
GA4805AA_02518,PF01257,Inter-strain
GA4805AA_03657,PF00467,Inter-strain
GA4805AA_00499,PF13472,Inter-strain
GA4805AA_00400,PF12320,Inter-strain
GA4805AA_02404,PF00359,Inter-strain
GA4805AA_00059,PF00176,Inter-strain
GA4805AA_00408,PF01702,Inter-strain
GA4805AA_03995,PF00692,Inter-strain
GA4805AA_01731,PF10590,Inter-strain
GA4805AA_02514,PF12838,Inter-strain
GA4805AA_01071,PF02613,Inter-strain
GA4805AA_01561,PF03724,Inter-strain
GA4805AA_01953,PF02938,Inter-strain
GA4805AA_02529,PF04217,Inter-strain
GA4805AA_01713,PF00532,Inter-strain
